date,000933.CSI_open,000933.CSI_high,000933.CSI_low,000933.CSI_close,000933.CSI_change,000933.CSI_amount,000933.CSI_volume
6/2/2016,8414.66,8440.23,8383.04,8438.32,0.0018,9457.77,478596800
6/3/2016,8444.84,8580.75,8429.47,8545.22,0.0127,14589.68,721656800
6/6/2016,8558.11,8570.8,8497.63,8532.66,-0.0015,10742.55,539723900
6/7/2016,8535.27,8549.57,8493.87,8527.85,-0.0006,10809.77,506154900
6/8/2016,8515.85,8516.6,8435.02,8476.75,-0.006,10705.25,509652600
6/13/2016,8387.11,8438.77,8176.04,8176.35,-0.0354,12247.15,628926200
6/14/2016,8150.67,8215.47,8127.31,8205.28,0.0035,8538.06,453329200
6/15/2016,8128.16,8384.05,8115,8361.8,0.0191,11324.83,597361500
6/16/2016,8344.12,8363.62,8265.77,8281.49,-0.0096,9639.17,524609400
6/17/2016,8296.4,8458.34,8296.33,8399.63,0.0143,13052.75,642362600
6/20/2016,8388.44,8432.04,8317.44,8415.17,0.0019,10507.3,511782300
6/21/2016,8452.74,8521.93,8318.13,8340.9,-0.0088,11230.01,552629200
6/22/2016,8331.67,8473.9,8325.14,8473.9,0.0159,8857.27,430984300
6/23/2016,8469.16,8477.87,8401.22,8443.31,-0.0036,8858.51,451079400
6/24/2016,8428.95,8499.8,8204.9,8357.24,-0.0102,12249.52,635394700
6/27/2016,8310.23,8525.84,8310.23,8525.78,0.0202,11301.88,574914600
6/28/2016,8502.13,8714.17,8495.47,8702.05,0.0207,18944.25,947475700
6/29/2016,8742.26,8759.7,8673.04,8687.98,-0.0016,15059.04,747575400
6/30/2016,8707.63,8767.92,8696.64,8725.06,0.0043,12163.04,591372500
7/1/2016,8731.82,8783.33,8674.23,8682.84,-0.0048,10583.41,546801200
7/4/2016,8652.94,8820.41,8649.86,8811.55,0.0148,13090.81,679144000
7/5/2016,8824.12,8830.62,8776.87,8812.52,0.0001,12728.1,674000100
7/6/2016,8794.01,8939.45,8764.42,8939.45,0.0144,15249.09,755804600
7/7/2016,8951.61,9126.31,8949.65,9044.93,0.0118,22351.03,1075591500
7/8/2016,9038.56,9058.02,8982.54,9002.84,-0.0047,14858.99,755876400
