,中国:日均销量(厂家零售):乘用车
2017-06-28,49226.0
2017-06-29,49226.0
2017-06-30,80958.0
2017-07-03,80958.0
2017-07-04,80958.0
2017-07-05,80958.0
2017-07-06,80958.0
2017-07-07,35823.0
2017-07-10,35823.0
2017-07-11,35823.0
2017-07-12,35823.0
2017-07-13,35823.0
2017-07-14,40050.0
2017-07-17,40050.0
2017-07-18,40050.0
2017-07-19,40050.0
2017-07-20,40050.0
2017-07-21,49810.0
2017-07-24,49810.0
2017-07-25,49810.0
2017-07-26,49810.0
2017-07-27,49810.0
2017-07-28,49810.0
2017-07-31,61153.0
2017-08-01,61153.0
2017-08-02,61153.0
2017-08-03,61153.0
2017-08-04,53330.0
2017-08-07,53330.0
2017-08-08,53330.0
2017-08-09,53330.0
2017-08-10,53330.0
2017-08-11,43690.0
2017-08-14,43690.0
2017-08-15,43690.0
2017-08-16,43690.0
2017-08-17,43690.0
2017-08-18,50010.0
2017-08-21,50010.0
2017-08-22,50010.0
2017-08-23,50010.0
2017-08-24,50010.0
2017-08-25,56431.0
2017-08-28,56431.0
2017-08-29,56431.0
2017-08-30,56431.0
2017-08-31,73377.0
2017-09-01,73377.0
2017-09-04,73377.0
2017-09-05,73377.0
2017-09-06,73377.0
2017-09-07,73377.0
2017-09-08,52557.0
2017-09-11,52557.0
2017-09-12,52557.0
2017-09-13,52557.0
2017-09-14,52557.0
2017-09-15,57610.0
2017-09-18,57610.0
2017-09-19,57610.0
2017-09-20,57610.0
2017-09-21,57610.0
2017-09-22,63954.0
2017-09-25,63954.0
2017-09-26,63954.0
2017-09-27,63954.0
2017-09-28,63954.0
2017-09-29,63954.0
2017-10-09,30299.0
2017-10-10,30299.0
2017-10-11,30299.0
2017-10-12,30299.0
2017-10-13,83107.0
2017-10-16,83107.0
2017-10-17,83107.0
2017-10-18,83107.0
2017-10-19,83107.0
2017-10-20,67057.0
2017-10-23,67057.0
2017-10-24,67057.0
2017-10-25,67057.0
2017-10-26,67057.0
2017-10-27,67057.0
2017-10-30,67057.0
2017-10-31,79531.0
2017-11-01,79531.0
2017-11-02,79531.0
2017-11-03,60790.0
2017-11-06,60790.0
2017-11-07,60790.0
2017-11-08,60790.0
2017-11-09,60790.0
2017-11-10,57767.0
2017-11-13,57767.0
2017-11-14,57767.0
2017-11-15,57767.0
2017-11-16,57767.0
2017-11-17,68000.0
2017-11-20,68000.0
2017-11-21,68000.0
2017-11-22,68000.0
2017-11-23,68000.0
2017-11-24,71678.0
2017-11-27,71678.0
2017-11-28,71678.0
2017-11-29,71678.0
2017-11-30,104007.0
2017-12-01,104007.0
2017-12-04,104007.0
2017-12-05,104007.0
2017-12-06,104007.0
2017-12-07,104007.0
2017-12-08,59719.0
2017-12-11,59719.0
2017-12-12,59719.0
2017-12-13,59719.0
2017-12-14,59719.0
2017-12-15,75083.0
2017-12-18,75083.0
2017-12-19,75083.0
2017-12-20,75083.0
2017-12-21,75083.0
2017-12-22,88136.0
2017-12-25,88136.0
2017-12-26,88136.0
2017-12-27,88136.0
2017-12-28,88136.0
2017-12-29,88136.0
2018-01-02,90698.0
2018-01-03,90698.0
2018-01-04,90698.0
2018-01-05,61184.0
2018-01-08,61184.0
2018-01-09,61184.0
2018-01-10,61184.0
2018-01-11,61184.0
2018-01-12,53125.0
2018-01-15,53125.0
2018-01-16,53125.0
2018-01-17,53125.0
2018-01-18,53125.0
2018-01-19,63607.0
2018-01-22,63607.0
2018-01-23,63607.0
2018-01-24,63607.0
2018-01-25,63607.0
2018-01-26,68747.0
2018-01-29,68747.0
2018-01-30,68747.0
2018-01-31,81487.0
2018-02-01,81487.0
2018-02-02,81487.0
2018-02-05,81487.0
2018-02-06,81487.0
2018-02-07,81487.0
2018-02-08,81487.0
2018-02-09,63040.0
2018-02-12,63040.0
2018-02-13,63040.0
2018-02-14,63040.0
2018-02-22,19124.0
2018-02-23,19124.0
2018-02-26,19124.0
2018-02-27,19124.0
2018-02-28,57264.0
2018-03-01,57264.0
2018-03-02,57264.0
2018-03-05,57264.0
2018-03-06,57264.0
2018-03-07,57264.0
2018-03-08,57264.0
2018-03-09,46258.0
2018-03-12,46258.0
2018-03-13,46258.0
2018-03-14,46258.0
2018-03-15,46258.0
2018-03-16,47366.0
2018-03-19,47366.0
2018-03-20,47366.0
2018-03-21,47366.0
2018-03-22,47366.0
2018-03-23,55058.0
2018-03-26,55058.0
2018-03-27,55058.0
2018-03-28,55058.0
2018-03-29,55058.0
2018-03-30,55058.0
2018-04-02,76948.0
2018-04-03,76948.0
2018-04-04,76948.0
2018-04-09,32561.0
2018-04-10,32561.0
2018-04-11,32561.0
2018-04-12,32561.0
2018-04-13,52258.0
2018-04-16,52258.0
2018-04-17,52258.0
2018-04-18,52258.0
2018-04-19,52258.0
2018-04-20,50693.0
2018-04-23,50693.0
2018-04-24,50693.0
2018-04-25,50693.0
2018-04-26,50693.0
2018-04-27,50693.0
2018-05-02,72551.0
2018-05-03,72551.0
2018-05-04,19595.0
2018-05-07,19595.0
2018-05-08,19595.0
2018-05-09,19595.0
2018-05-10,19595.0
2018-05-11,58653.0
2018-05-14,58653.0
2018-05-15,58653.0
