,B.IPE_open,B.IPE_high,B.IPE_low,B.IPE_close,B.IPE_volume
2022-01-25,86.76,88.37,86.2,88.08,256212.0
2022-01-26,86.98,89.27,86.71,88.53,346963.0
2022-01-27,88.5,89.74,87.79,88.88,363407.0
2022-01-28,88.81,90.27,88.15,88.88,420433.0
2022-02-07,92.75,94.0,92.13,92.95,317289.0
2022-02-08,92.63,92.93,89.93,91.32,368548.0
2022-02-09,91.08,92.09,90.05,91.8,294004.0
2022-02-10,91.75,93.1,90.88,91.45,369013.0
2022-02-11,91.17,95.66,90.51,95.1,452105.0
2022-02-14,95.2,96.78,93.44,95.85,373086.0
2022-02-15,95.81,96.26,92.06,93.5,378253.0
2022-02-16,93.49,96.07,91.11,92.1,393794.0
2022-02-17,92.2,94.5,92.14,92.94,347788.0
2022-02-18,92.73,94.15,90.12,93.61,348345.0
2022-02-21,94.29,97.4,92.57,97.35,217035.0
2022-02-22,96.55,99.5,95.8,96.5,316384.0
2022-02-23,93.7,95.73,92.81,94.73,319465.0
2022-02-24,95.37,102.26,94.12,95.89,633532.0
2022-02-25,97.15,98.36,92.75,94.56,424122.0
2022-02-28,96.34,101.28,96.34,98.12,411245.0
2022-03-01,98.43,107.67,98.3,107.65,492513.0
2022-03-02,107.34,115.11,106.83,114.54,490567.0
2022-03-03,115.27,119.84,109.4,110.44,452523.0
2022-03-04,114.23,118.98,109.62,118.05,334408.0
2022-03-07,122.79,139.13,119.04,124.37,419930.0
2022-03-08,124.56,133.15,121.31,129.47,469994.0
2022-03-09,130.28,131.64,105.6,112.51,521577.0
2022-03-10,112.65,118.36,109.0,109.18,352338.0
2022-03-11,110.26,113.91,107.13,112.12,287385.0
2022-03-14,113.15,113.15,103.49,106.0,265914.0
2022-03-15,105.34,105.71,97.44,98.75,318121.0
2022-03-16,99.14,103.7,96.93,98.04,246821.0
2022-03-17,98.61,107.5,97.75,107.01,200947.0
2022-03-18,103.76,106.46,102.94,105.4,181431.0
2022-03-21,105.0,113.05,104.29,112.46,231226.0
2022-03-22,113.89,115.5,109.31,110.93,260720.0
2022-03-23,110.93,118.2,110.78,117.66,288411.0
2022-03-24,117.7,119.74,113.41,114.6,286552.0
2022-03-25,115.22,117.62,111.88,116.83,278289.0
2022-03-28,115.79,116.03,106.06,106.6,304613.0
2022-03-29,107.21,111.8,102.19,108.56,354621.0
2022-03-30,109.6,112.28,107.93,111.0,269455.0
2022-03-31,110.99,111.16,104.06,105.65,348686.0
2022-04-01,105.25,106.24,102.35,104.75,238624.0
2022-04-06,105.7,108.67,100.54,101.65,286516.0
2022-04-07,101.78,103.59,98.41,101.41,296034.0
2022-04-08,101.42,103.3,99.65,102.4,217643.0
2022-04-11,103.21,103.3,97.57,99.35,238692.0
2022-04-12,99.35,105.6,98.9,104.93,273948.0
2022-04-13,105.44,109.0,104.06,108.88,247255.0
2022-04-14,108.29,112.39,106.63,111.66,210179.0
2022-04-15,,,,111.66,
2022-04-18,112.32,114.84,110.71,112.84,132154.0
2022-04-19,112.85,114.21,106.74,107.6,239907.0
2022-04-20,108.1,109.0,104.65,107.23,243672.0
2022-04-21,107.07,109.8,106.76,108.83,185375.0
2022-04-22,107.86,108.4,105.04,105.72,188269.0
2022-04-25,105.01,105.37,99.25,102.38,286886.0
2022-04-26,102.3,105.81,100.91,104.87,268030.0
2022-04-27,105.06,105.98,103.0,104.94,230068.0
2022-04-28,104.77,107.71,102.9,107.12,309713.0
2022-04-29,107.07,110.0,106.08,106.08,291042.0
2022-05-05,110.55,114.0,109.2,111.06,279883.0
2022-05-06,111.27,113.5,109.87,113.22,249825.0
2022-05-09,112.94,113.2,105.0,105.25,302174.0
