指标名称,中国:产量:太阳能:当月值,中国:产量:核电:当月值,中国:产量:风电:当月值,中国:产量:水电:当月值,中国:产量:火电:当月值,中国:产量:发电量:当月值
2001-06-30,,16.7197,,241.27,933.53,1192.18
2001-07-31,,15.6054,,244.83,1049.6,1310.67
2001-08-31,,16.7373,,243.69,1007.94,1268.84
2001-09-30,,16.2586,,215.01,956.59,1188.5
2001-10-31,,16.711,,204.21,958.71,1180.4
2001-11-30,,16.1454,,200.1,984.74,1201.95
2001-12-31,,9.5987,,177.94,1124.05,1313.11
2002-01-31,,12.118,,141.22,1162.64,1316.73
2002-02-28,,7.6959,,129.45,872.48,1010.41
2002-03-31,,11.9781,,149.58,1078.31,1240.97
2002-04-30,,12.9147,,179.89,1055.87,1249.65
2002-05-31,,16.2886,,231.24,1034.97,1283.72
2002-06-30,,31.2865,,259.17,1063.32,1354.76
2002-07-31,,23.4691,,268.73,1164.94,1458.04
2002-08-31,,28.013,,279.03,1147.91,1455.99
2002-09-30,,29.19,,237.28,1102.59,1426.55
2002-10-31,,27.7357,,220.96,1135.53,1385.19
2002-11-30,,30.3502,,191.46,1185.01,1408.15
2002-12-31,,28.0073,,175.9,1309.09,1514.12
2003-01-31,,32.4926,,150.98,1190.35,1375.54
2003-02-28,,27.0421,,131.98,1016.78,1258.03
2003-03-31,,34.0965,,150.13,1272.15,1458.06
2003-04-30,,25.9569,,184.27,1215.82,1427.19
2003-05-31,,26.7707,,234.33,1191.62,1453.97
2003-06-30,,37.2485,,265.99,1209.8,1514.26
2003-07-31,,44.4071,,280.88,1373.09,1699.3
2003-08-31,,37.6932,,265.57,1396.09,1700.29
2003-09-30,,43.3254,,263.23,1277.37,1584.57
2003-10-31,,48.9196,,242.44,1288.63,1581.09
2003-11-30,,41.2332,,197.82,1384.17,1624.6
2003-12-31,,34.5673,,181.89,1492.53,1710.58
2004-01-31,,37.7902,,138.97,1289.97,1479.69
2004-02-29,,36.9349,,138.7,1383.48,1570.48
2004-03-31,,37.4532,,174.99,1480.63,1706.69
2004-04-30,,36.9604,,225.05,1409.0,1678.88
2004-05-31,,36.7863,,277.77,1372.44,1692.88
2004-06-30,,40.4054,,318.93,1383.22,1748.1
2004-07-31,,43.9725,,319.33,1531.93,1898.79
2004-08-31,,49.9389,,334.32,1533.57,1920.95
2004-09-30,,49.6141,,321.73,1435.27,1809.54
2004-10-31,,51.92,,296.66,1491.99,1844.31
2004-11-30,,46.6529,,253.43,1554.7,1858.77
2004-12-31,,38.8032,,222.71,1636.36,1931.25
2005-01-31,,47.7604,,181.41,1650.49,1914.89
2005-02-28,,40.3277,,166.23,1376.79,1601.06
2005-03-31,,41.255,,209.94,1675.58,1940.47
2005-04-30,,40.9611,,254.41,1586.71,1892.06
2005-05-31,,44.8249,,347.02,1521.3,1924.7
2005-06-30,,44.0576,,398.56,1553.77,2006.75
2005-07-31,,48.1647,,404.21,1717.34,2178.9
2005-08-31,,50.3012,,389.78,1712.07,2162.05
2005-09-30,,47.5502,,374.01,1622.47,2053.25
2005-10-31,,42.9239,,365.32,1592.42,2010.97
2005-11-30,,39.2135,,293.55,1696.85,2041.89
2005-12-31,,43.0203,,244.22,1953.33,2246.59
2006-01-31,,41.1538,,250.08,1754.83,2063.4
2006-02-28,,41.3983,,238.43,1669.46,1962.01
2006-03-31,,43.1101,,261.68,1847.25,2161.62
2006-04-30,,40.9337,,291.46,1776.97,2116.6
2006-05-31,,45.6503,,363.72,1758.66,2175.28
2006-06-30,,43.5512,,436.59,1815.87,2301.93
2006-07-31,,50.2506,,441.26,2022.48,2517.14
2006-08-31,,51.155,,374.66,2139.79,2570.49
2006-09-30,,45.1381,,343.52,1972.64,2364.75
