指标名称,中国:全社会用电量:第一产业:当月值,中国:全社会用电量:第三产业:当月值,中国:全社会用电量:第二产业:当月值,中国:全社会用电量:当月值,中国:发电新增设备容量:太阳能:累计值,中国:规模以上工业增加值:电力、热力的生产和供应业:当月同比,中国:用电量:电力、燃气及水的生产和供应业:当月值,中国:产成品存货:电力、热力生产和供应业,中国:产成品存货:电力、热力生产和供应业:同比,中国:存货:电力、热力生产和供应业:同比,中国:消费量:动力煤:电力行业:当月值
2009-12-31,700544.0,3682893.0,2.7576379E7,3.6043664E7,2.79,15.18,,,,,13826.0
2010-01-31,700136.0,3981096.0,2.6326556E7,3.5425693E7,,,4789050.0,,,,14371.0
2010-02-28,549603.0,3436010.0,1.9210977E7,2.7209408E7,,10.3,1570824.0,412994.9,-9.1534,,11263.0
2010-03-31,655826.0,3386947.0,2.5935892E7,3.4349951E7,,13.0,7286564.0,,,,14130.0
2010-04-30,818217.0,3373421.0,2.5828571E7,3.3943861E7,,14.8,4310613.0,,,,13541.0
2010-05-31,856018.0,3170483.0,2.7107002E7,3.480417E7,,14.5,5160618.0,428960.8,-2.4871,,13271.0
2010-06-30,931289.0,3514885.0,2.71208E7,3.5204674E7,,11.1,4827974.0,,,,12819.0
2010-07-31,1149482.0,4056831.0,2.9387321E7,3.8962716E7,,10.4,7033478.0,,,,13768.0
2010-08-31,1123659.0,4674681.0,2.8779342E7,3.9745449E7,,11.6,5813557.0,435470.0,-2.9659,,14463.0
2010-09-30,881547.0,4401817.0,2.4386891E7,3.4931235E7,,8.6,2905848.0,,,,12742.0
2010-10-31,741699.0,3692168.0,2.5257272E7,3.4002301E7,,6.8,4162916.0,,,,13782.0
2010-11-30,745591.0,3505298.0,2.6462138E7,3.4604688E7,,7.1,5422447.0,415222.5,12.8366,,13829.0
2010-12-31,619306.0,3610363.0,2.8832799E7,3.7007041E7,19.59,5.9,,,,,14905.0
2011-01-31,711584.0,4434274.0,2.9039602E7,3.8889102E7,,,5133169.0,,,,15259.0
2011-02-28,577165.0,4082470.0,2.1688926E7,3.1358537E7,,13.0,2654852.0,280937.7,-9.2802,,12854.0
2011-03-31,665081.0,3837054.0,2.9536811E7,3.8877785E7,,13.5,7409584.0,345929.3,-3.0957,,15842.0
2011-04-30,837207.0,3778860.0,2.8714397E7,3.7678887E7,6.18,11.7,4423973.0,384498.9,18.9394,,15039.0
2011-05-31,931160.0,3630921.0,3.0089388E7,3.8649432E7,9.78,10.9,5747664.0,490151.5,11.2339,,15129.0
2011-06-30,1033916.0,4045669.0,3.0480064E7,3.9645009E7,,11.3,5574326.0,485276.6,17.2839,,15331.0
2011-07-31,1157292.0,4685983.0,3.2876698E7,4.3490442E7,16.8,10.5,7767515.0,507227.1,26.0731,,16625.0
2011-08-31,1151042.0,5113191.0,3.158216E7,4.3431265E7,23.15,7.7,6163724.0,508347.1,23.8143,,16948.0
2011-09-30,885570.0,4796435.0,2.7965137E7,3.9154415E7,,8.9,3242321.0,592653.2,49.3591,,15411.0
2011-10-31,760774.0,4058661.0,2.8617347E7,3.7971048E7,27.7,8.0,4620938.0,570159.4,41.9162,,14648.0
2011-11-30,731692.0,3995170.0,2.9390767E7,3.8356522E7,,7.6,5479970.0,626391.2,63.1177,,15012.0
2011-12-31,682414.0,4463910.0,3.2233017E7,4.1908652E7,196.0,9.9,,631658.1,58.4214,,16787.0
2012-01-31,612781.0,4626478.0,2.6035477E7,3.6335746E7,,,3870296.0,,,,14418.0
2012-02-29,616813.0,4774896.0,2.7128508E7,3.8629635E7,,13.8,6316854.0,590209.0,72.7062,30.9,15419.0
2012-03-31,667546.0,4580615.0,3.0698157E7,4.1599866E7,,7.6,6812329.0,625169.5,46.644,31.3,16880.0
2012-04-30,772006.0,4190481.0,2.9083258E7,3.898716E7,,2.7,4369015.0,671586.9,82.4969,34.7,14936.0
2012-05-31,917150.0,4053693.0,3.1255038E7,4.0607525E7,,4.5,6144354.0,643209.2,50.8871,31.2,14768.0
2012-06-30,1068559.0,4493406.0,3.149667E7,4.1357077E7,,1.7,5622177.0,607941.8,35.6469,25.7,14468.0
2012-07-31,1217787.0,5172953.0,3.3952947E7,4.5556695E7,,3.9,7866224.0,593358.3,25.4143,21.6,15758.0
2012-08-31,1119885.0,5671631.0,3.1913957E7,4.4946666E7,,3.8,6081317.0,665325.3,34.3907,18.1,15715.0
2012-09-30,930664.0,5244634.0,2.8362544E7,4.0506742E7,,3.3,3241139.0,645729.0,36.9873,17.8,13968.0
2012-10-31,721972.0,4467065.0,3.005719E7,3.9980595E7,,4.7,5483321.0,629939.0,31.1451,10.6,14341.0
2012-11-30,732952.0,4508367.0,3.1555161E7,4.13929E7,,6.0,5884601.0,673153.1,17.9098,1.7,15653.0
2012-12-31,625773.0,5102732.0,3.5422912E7,4.6284579E7,107.34,6.5,,584256.3,11.2641,-2.7,17420.0
2013-01-31,692732.0,5789137.0,3.2703307E7,4.5187963E7,,,6330380.0,,,,18209.0
2013-02-28,583114.0,4891087.0,2.257938E7,3.3736119E7,46.0,,1966321.0,569404.3,16.4853,-0.7,13300.0
2013-03-31,611403.0,4577125.0,3.1566264E7,4.2410136E7,65.0,1.4,8867679.0,584352.9,23.6275,-2.5,16286.0
2013-04-30,815500.0,4576247.0,3.1367676E7,4.165213E7,75.0,5.5,5175698.0,609780.4,6.7815,-6.6,14882.0
2013-05-31,913052.0,4418663.0,3.2772445E7,4.2687593E7,103.0,3.1,6287376.0,569213.5,1.5364,-11.2,14468.0
2013-06-30,989588.0,4982631.0,3.3161706E7,4.3837463E7,138.0,6.2,6212346.0,498076.2,-4.561,-11.1,14252.0
2013-07-31,1134642.0,5856605.0,3.6657803E7,4.9495678E7,215.0,8.3,8754595.0,480189.8,-1.0732,-12.4,16259.0
2013-08-31,1181128.0,6551745.0,3.573131E7,5.1029498E7,247.73,12.2,7357367.0,475235.9,-11.2065,-13.4,17785.0
2013-09-30,821049.0,5842965.0,3.0623453E7,4.4483976E7,320.7,8.7,3760640.0,331552.4,-35.6008,-9.7,15286.0
2013-10-31,792158.0,4858251.0,3.2749704E7,4.3751016E7,361.1,6.6,6229002.0,341751.1,-31.2206,-5.8,15629.0
2013-11-30,778530.0,4828519.0,3.4369997E7,4.4850005E7,402.62,6.1,6737006.0,373198.3,-26.9719,-3.3,16485.0
2013-12-31,794892.0,5419618.0,3.751979E7,4.9128819E7,1130.46,5.2,,321330.8,-37.6681,-6.1,18446.0
2014-01-31,614733.0,5760020.0,3.1724351E7,4.4080594E7,,,5107844.0,,,,
2014-02-28,513052.0,5179837.0,2.6472543E7,3.8350019E7,29.4,,5069877.0,352342.6,-26.7113,-4.8,
2014-03-31,610000.0,5390000.0,3.312E7,4.544E7,35.0,4.1,7553731.0,353751.7,-25.7477,-2.4,16894.0
