,SN.LME_open,SN.LME_high,SN.LME_low,SN.LME_close,SN.LME_volume
2015-04-01,16605.0,16645.0,16395.0,16550.0,319.0
2015-04-02,16495.0,16750.0,16495.0,16725.0,194.0
2015-04-03,,,,16725.0,
2015-04-07,16700.0,16800.0,16585.0,16740.0,141.0
2015-04-08,16700.0,16790.0,16700.0,16725.0,105.0
2015-04-09,16680.0,16725.0,16550.0,16560.0,128.0
2015-04-10,16600.0,16680.0,16540.0,16640.0,101.0
2015-04-13,16670.0,16725.0,16010.0,16050.0,322.0
2015-04-14,16135.0,16400.0,15865.0,16300.0,200.0
2015-04-15,16350.0,16380.0,15760.0,15800.0,196.0
2015-04-16,15890.0,16075.0,14705.0,14800.0,1053.0
2015-04-17,14680.0,15300.0,13600.0,15230.0,1295.0
2015-04-20,14850.0,15230.0,14500.0,14810.0,459.0
2015-04-21,14920.0,15560.0,14905.0,15560.0,502.0
2015-04-22,15555.0,15755.0,15500.0,15680.0,302.0
2015-04-23,15680.0,15725.0,15450.0,15450.0,165.0
2015-04-24,15600.0,15880.0,15420.0,15750.0,188.0
2015-04-27,15825.0,16250.0,15820.0,16190.0,335.0
2015-04-28,16250.0,16390.0,15605.0,15900.0,303.0
2015-04-29,15995.0,16000.0,15650.0,15725.0,106.0
2015-04-30,15655.0,16190.0,15655.0,15925.0,162.0
2015-05-04,,,,16050.0,
2015-05-05,16000.0,16300.0,15925.0,16125.0,332.0
2015-05-06,16100.0,16400.0,16050.0,16150.0,262.0
2015-05-07,16200.0,16200.0,15945.0,16025.0,132.0
2015-05-08,16100.0,16150.0,15835.0,16000.0,74.0
2015-05-11,16050.0,16110.0,15680.0,15730.0,175.0
2015-05-12,15800.0,15950.0,15700.0,15900.0,83.0
2015-05-13,15900.0,16000.0,15700.0,15800.0,182.0
2015-05-14,15705.0,15900.0,15700.0,15755.0,222.0
2015-05-15,15815.0,15950.0,15710.0,15840.0,122.0
2015-05-18,15780.0,16085.0,15750.0,15950.0,219.0
2015-05-19,15855.0,15995.0,15795.0,15980.0,244.0
2015-05-20,15800.0,16050.0,15800.0,15995.0,143.0
2015-05-21,15925.0,15950.0,15820.0,15840.0,105.0
2015-05-22,15900.0,15975.0,15750.0,15840.0,165.0
2015-05-25,,,,15840.0,
2015-05-26,15805.0,15895.0,15370.0,15460.0,309.0
2015-05-27,15580.0,15600.0,15275.0,15505.0,298.0
2015-05-28,15540.0,15645.0,15430.0,15440.0,127.0
2015-05-29,15595.0,15595.0,15400.0,15540.0,141.0
2015-06-01,15600.0,15640.0,15400.0,15495.0,192.0
2015-06-02,15485.0,15640.0,15415.0,15500.0,228.0
2015-06-03,15565.0,15600.0,15350.0,15560.0,160.0
2015-06-04,15550.0,15560.0,15420.0,15420.0,113.0
2015-06-05,15430.0,15465.0,15185.0,15300.0,191.0
2015-06-08,15300.0,15420.0,15215.0,15375.0,92.0
2015-06-09,15375.0,15500.0,15250.0,15255.0,183.0
2015-06-10,15250.0,15400.0,15245.0,15400.0,151.0
2015-06-11,15400.0,15405.0,14900.0,14925.0,324.0
2015-06-12,15195.0,15195.0,14680.0,14900.0,272.0
2015-06-15,14900.0,14945.0,14280.0,14830.0,287.0
2015-06-16,14800.0,14845.0,14315.0,14610.0,162.0
2015-06-17,14700.0,14835.0,14595.0,14750.0,146.0
2015-06-18,14750.0,15375.0,14750.0,15285.0,334.0
2015-06-19,15275.0,15400.0,15150.0,15310.0,255.0
2015-06-23,15365.0,15415.0,15205.0,15300.0,199.0
2015-06-24,15350.0,15375.0,15190.0,15200.0,133.0
2015-06-25,15175.0,15175.0,14705.0,14805.0,201.0
2015-06-26,15000.0,15000.0,14750.0,14875.0,132.0
2015-06-29,14800.0,14800.0,14315.0,14360.0,457.0
2015-06-30,14340.0,14400.0,13365.0,13880.0,600.0
2015-07-01,14485.0,14535.0,14485.0,14485.0,904.0
2015-07-02,14425.0,14600.0,14400.0,14430.0,210.0
2015-07-03,14200.0,14445.0,13920.0,14200.0,182.0
2015-07-06,14100.0,14400.0,13900.0,14275.0,172.0
2015-07-07,14300.0,14300.0,13605.0,13800.0,247.0
2015-07-08,13685.0,14230.0,13500.0,14185.0,376.0
2015-07-09,14055.0,14400.0,13850.0,14225.0,277.0
2015-07-10,14250.0,14395.0,13875.0,14265.0,242.0
2015-07-13,14310.0,14870.0,13995.0,14710.0,436.0
