,AL.SHF_open,AL.SHF_high,AL.SHF_low,AL.SHF_close,AL.SHF_volume
2016-01-29,10760.0,10810.0,10715.0,10755.0,53342.0
2016-02-01,10760.0,10830.0,10590.0,10645.0,116952.0
2016-02-02,10640.0,10705.0,10620.0,10675.0,64828.0
2016-02-03,10700.0,10745.0,10635.0,10710.0,105984.0
2016-02-04,10710.0,10930.0,10705.0,10900.0,157238.0
2016-02-05,10890.0,10900.0,10785.0,10800.0,114566.0
2016-02-15,10750.0,10880.0,10715.0,10875.0,76200.0
2016-02-16,10880.0,11070.0,10830.0,11045.0,282232.0
2016-02-17,11050.0,11120.0,10930.0,10980.0,230950.0
2016-02-18,10990.0,11055.0,10945.0,10965.0,122812.0
2016-02-19,10970.0,11085.0,10925.0,11060.0,139926.0
2016-02-22,11090.0,11275.0,11055.0,11210.0,220932.0
2016-02-23,11240.0,11285.0,11155.0,11225.0,161226.0
2016-02-24,11205.0,11210.0,11085.0,11150.0,140616.0
2016-02-25,11130.0,11325.0,11130.0,11230.0,190750.0
2016-02-26,11290.0,11340.0,11170.0,11265.0,218430.0
2016-02-29,11310.0,11420.0,11290.0,11300.0,150710.0
2016-03-01,11360.0,11375.0,11120.0,11225.0,170132.0
2016-03-02,11260.0,11340.0,11155.0,11325.0,181264.0
2016-03-03,11305.0,11370.0,11280.0,11365.0,126498.0
2016-03-04,11365.0,11485.0,11330.0,11435.0,227818.0
2016-03-07,11430.0,11645.0,11365.0,11455.0,353800.0
2016-03-08,11475.0,11595.0,11410.0,11535.0,324148.0
2016-03-09,11535.0,11545.0,11055.0,11370.0,296444.0
2016-03-10,11355.0,11415.0,11265.0,11315.0,168332.0
2016-03-11,11300.0,11375.0,11245.0,11375.0,145504.0
2016-03-14,11335.0,11455.0,11320.0,11335.0,141928.0
2016-03-15,11310.0,11355.0,11270.0,11300.0,125840.0
2016-03-16,11245.0,11305.0,11200.0,11275.0,110250.0
2016-03-17,11230.0,11365.0,11230.0,11340.0,94516.0
2016-03-18,11325.0,11500.0,11320.0,11455.0,158696.0
2016-03-21,11425.0,11580.0,11400.0,11485.0,154720.0
2016-03-22,11530.0,11550.0,11470.0,11515.0,94936.0
2016-03-23,11495.0,11545.0,11460.0,11500.0,95008.0
2016-03-24,11495.0,11640.0,11465.0,11525.0,241820.0
2016-03-25,11520.0,11715.0,11510.0,11700.0,174076.0
2016-03-28,11720.0,11830.0,11680.0,11740.0,164850.0
2016-03-29,11750.0,11880.0,11700.0,11755.0,183126.0
2016-03-30,11775.0,11780.0,11690.0,11740.0,107466.0
2016-03-31,11700.0,11780.0,11675.0,11750.0,88830.0
2016-04-01,11765.0,11900.0,11750.0,11865.0,104802.0
2016-04-05,11870.0,11940.0,11830.0,11850.0,83516.0
2016-04-06,11825.0,11910.0,11750.0,11765.0,149362.0
2016-04-07,11765.0,11815.0,11745.0,11780.0,121118.0
2016-04-08,11750.0,11755.0,11520.0,11635.0,162978.0
2016-04-11,11670.0,11820.0,11665.0,11775.0,143912.0
2016-04-12,11750.0,11820.0,11750.0,11785.0,87924.0
2016-04-13,11835.0,12075.0,11825.0,11945.0,274114.0
2016-04-14,12000.0,12070.0,11915.0,11960.0,168504.0
2016-04-15,11995.0,12020.0,11925.0,11960.0,131570.0
2016-04-18,11950.0,12010.0,11830.0,11955.0,140130.0
2016-04-19,12000.0,12045.0,11955.0,12035.0,126866.0
2016-04-20,12055.0,12120.0,12025.0,12075.0,149904.0
2016-04-21,12115.0,12540.0,12115.0,12400.0,339418.0
2016-04-22,12450.0,12805.0,12260.0,12805.0,548556.0
2016-04-25,12850.0,13075.0,12700.0,12885.0,525606.0
2016-04-26,12900.0,12955.0,12740.0,12790.0,258076.0
2016-04-27,12810.0,12980.0,12765.0,12820.0,225278.0
2016-04-28,12830.0,12915.0,12430.0,12480.0,373434.0
2016-04-29,12560.0,12710.0,12470.0,12680.0,159098.0
2016-05-03,12660.0,12820.0,12660.0,12755.0,111152.0
2016-05-04,12715.0,12740.0,12455.0,12475.0,207928.0
2016-05-05,12505.0,12570.0,12400.0,12455.0,161326.0
2016-05-06,12490.0,12535.0,12200.0,12340.0,274898.0
2016-05-09,12315.0,12490.0,11980.0,12055.0,254028.0
2016-05-10,12080.0,12080.0,11770.0,11910.0,240472.0
2016-05-11,11875.0,12130.0,11875.0,12120.0,189674.0
2016-05-12,12145.0,12245.0,12050.0,12170.0,190054.0
2016-05-13,12080.0,12165.0,11855.0,12070.0,252344.0
2016-05-16,12070.0,12290.0,12015.0,12225.0,211712.0
2016-05-17,12220.0,12440.0,12195.0,12435.0,219754.0
2016-05-18,12365.0,12460.0,12260.0,12270.0,191306.0
2016-05-19,12305.0,12400.0,12220.0,12325.0,181804.0
2016-05-20,12285.0,12445.0,12265.0,12435.0,154288.0
2016-05-23,12485.0,12560.0,12225.0,12275.0,229128.0
2016-05-24,12310.0,12350.0,12135.0,12270.0,171758.0
