,NI.LME_open,NI.LME_high,NI.LME_low,NI.LME_close,NI.LME_volume
2018-06-08,15425.0,15520.0,15280.0,15445.0,6664.0
2018-06-11,15455.0,15545.0,15250.0,15265.0,4385.0
2018-06-12,15250.0,15395.0,15155.0,15255.0,5752.0
2018-06-13,15260.0,15730.0,15170.0,15650.0,6707.0
2018-06-14,15690.0,15690.0,15105.0,15280.0,8533.0
2018-06-15,15250.0,15400.0,15100.0,15170.0,9499.0
2018-06-19,15005.0,15055.0,14580.0,14720.0,12759.0
2018-06-20,14705.0,15030.0,14700.0,14960.0,7672.0
2018-06-21,14950.0,15195.0,14925.0,15075.0,8155.0
2018-06-22,15070.0,15390.0,14985.0,15370.0,6294.0
2018-06-25,15370.0,15410.0,14730.0,14790.0,7719.0
2018-06-26,14795.0,14915.0,14550.0,14900.0,8924.0
2018-06-27,14890.0,15020.0,14505.0,14865.0,9064.0
2018-06-28,14825.0,15010.0,14720.0,14790.0,6612.0
2018-06-29,14815.0,15095.0,14760.0,14940.0,6653.0
2018-07-02,14910.0,14940.0,14525.0,14565.0,6146.0
2018-07-03,14570.0,14750.0,14330.0,14340.0,9743.0
2018-07-04,14365.0,14480.0,13995.0,14140.0,11315.0
2018-07-05,14145.0,14385.0,14040.0,14195.0,8333.0
2018-07-06,14215.0,14255.0,13830.0,13960.0,10707.0
2018-07-09,13975.0,14240.0,13975.0,14065.0,8926.0
2018-07-10,14140.0,14285.0,14000.0,14170.0,6625.0
2018-07-11,14085.0,14085.0,13570.0,13945.0,13185.0
2018-07-12,13945.0,14410.0,13880.0,14245.0,12694.0
2018-07-13,14255.0,14305.0,13915.0,13970.0,8338.0
2018-07-16,13985.0,14050.0,13605.0,13630.0,9320.0
2018-07-17,13625.0,13765.0,13475.0,13545.0,11821.0
2018-07-18,13510.0,13700.0,13305.0,13665.0,10231.0
2018-07-19,13680.0,13780.0,13210.0,13405.0,9898.0
2018-07-20,13450.0,13630.0,13305.0,13510.0,7031.0
2018-07-23,13590.0,13640.0,13350.0,13375.0,6611.0
2018-07-24,13370.0,13770.0,13265.0,13600.0,8238.0
2018-07-25,13630.0,13840.0,13565.0,13715.0,6144.0
2018-07-26,13800.0,13840.0,13605.0,13780.0,5372.0
2018-07-27,13770.0,13895.0,13670.0,13780.0,5698.0
