指标名称,光伏行业综合价格指数(SPI),光伏行业综合价格指数(SPI):多晶硅,光伏行业综合价格指数(SPI):硅片,光伏经理人指数(SMI):全行业
2021-02-01,30.81,55.73,30.01,154.157328
2021-02-08,30.98,56.97,30.01,158.538332
2021-02-26,32.23,64.4,30.67,148.213831
2021-03-08,34.1,68.73,33.84,133.437186
2021-03-15,34.62,72.14,33.6,138.570513
2021-03-22,35.25,75.23,34.47,136.466648
2021-03-29,35.86,78.33,35.3,133.413264
2021-04-06,36.85,81.42,36.18,134.904364
2021-04-12,37.48,84.83,37.01,128.657251
2021-04-19,38.6,89.47,37.86,128.997937
2021-04-26,39.98,91.95,39.11,132.631514
2021-04-30,40.66,95.36,39.7,
2021-05-10,41.51,98.45,40.11,131.415113
2021-05-17,43.67,104.64,43.55,129.605382
2021-05-24,45.18,116.1,44.24,131.646465
2021-05-31,47.78,128.48,46.67,129.605382
2021-06-07,49.18,134.67,49.87,124.841776
2021-06-15,48.96,134.67,49.54,135.020389
2021-06-21,48.39,134.67,48.47,140.768136
2021-06-28,47.82,134.67,47.64,146.121776
2021-07-05,45.74,134.67,43.0,148.652642
2021-07-12,44.75,134.67,42.17,154.809095
2021-07-19,44.44,133.44,41.7,157.623073
2021-07-26,43.76,131.58,40.81,167.918235
2021-08-02,43.18,130.03,40.89,179.938986
2021-08-09,43.85,129.1,40.89,181.898965
2021-08-16,44.73,129.1,43.48,177.294151
2021-08-23,45.96,129.1,45.11,180.093997
2021-08-30,47.03,129.72,47.48,191.617003
2021-09-06,48.21,132.2,48.56,188.320794
2021-09-13,48.29,133.13,48.56,184.306114
2021-09-27,50.76,134.06,49.33,188.289354
2021-09-30,53.68,146.44,55.18,
2021-10-11,,,,179.582998
2021-10-18,57.96,165.63,58.16,184.306114
2021-10-25,58.38,168.11,58.16,180.313193
2021-11-01,58.38,168.11,58.16,187.195183
2021-11-08,58.51,169.66,58.16,177.629982
2021-11-15,58.41,169.66,57.88,180.313193
2021-11-22,58.32,169.66,57.8,182.780492
2021-11-29,57.33,169.66,54.99,176.14995
2021-12-06,56.61,169.66,52.73,180.313193
2021-12-13,55.03,164.09,50.66,180.020498
2021-12-20,53.77,157.89,48.51,172.917573
2021-12-27,52.95,148.61,48.68,180.313193
2022-01-04,52.57,143.96,48.95,185.060045
2022-01-10,52.58,143.96,49.23,179.113231
2022-01-17,53.26,147.37,50.88,180.313193
2022-01-24,53.47,149.23,50.99,178.214097
2022-02-07,54.17,151.08,52.37,175.487903
2022-02-14,54.36,152.32,52.58,167.236395
2022-02-21,54.56,153.56,52.64,174.190247
2022-02-28,54.73,153.87,53.2,187.859417
2022-03-07,54.91,154.18,53.2,196.154921
2022-03-14,55.17,154.18,53.82,178.214097
2022-03-21,55.19,154.18,53.82,171.97139
2022-03-28,55.2,154.18,53.84,164.785877
2022-04-06,55.25,154.8,53.84,156.498817
2022-04-11,55.52,156.04,54.46,155.94109
2022-04-18,55.64,156.04,54.56,153.956255
2022-04-25,55.72,156.04,54.56,144.016688
2022-05-05,55.98,157.89,54.93,149.417389
2022-05-09,56.23,159.75,54.93,152.214856
2022-05-16,56.47,160.99,54.93,157.450127
2022-05-23,56.47,160.99,54.93,170.724621
2022-05-30,56.47,160.99,54.93,168.213035
2022-06-06,56.82,164.09,54.93,172.353765
2022-06-13,56.92,165.33,54.85,171.640844
2022-06-20,57.01,165.33,54.85,169.018362
2022-06-27,57.21,166.56,54.85,171.416354
2022-07-04,58.64,177.09,56.8,172.917806
2022-07-11,59.7,180.8,57.06,179.031319
2022-07-18,59.92,182.66,57.09,189.631459
2022-07-25,59.97,183.28,57.09,185.198432
2022-08-01,60.81,183.9,58.69,194.91083
2022-08-08,61.02,186.38,58.69,185.612157
2022-08-15,61.12,187.62,58.69,192.826368
2022-08-22,61.17,188.24,58.69,195.570663
2022-08-29,61.22,188.85,58.69,194.885528
2022-09-05,61.32,190.09,58.69,179.886421
