指标名称,光伏行业综合价格指数(SPI):硅片,现货价(周平均价):多晶硅片(156mm×156mm)
2020-12-30,,0.152
2021-01-04,29.84,
2021-01-06,,0.154
2021-01-11,29.84,
2021-01-13,,0.154
2021-01-18,29.84,
2021-01-20,,0.154
2021-01-25,29.84,
2021-01-27,,0.157
2021-02-01,30.01,
2021-02-03,,0.157
2021-02-08,30.01,
2021-02-10,,0.172
2021-02-17,,0.172
2021-02-24,,0.172
2021-02-26,30.67,
2021-03-03,,0.186
2021-03-08,33.84,
2021-03-10,,0.186
2021-03-15,33.6,
2021-03-17,,0.186
2021-03-22,34.47,
2021-03-24,,0.185
2021-03-29,35.3,
2021-03-31,,0.183
2021-04-06,36.18,
2021-04-07,,0.182
2021-04-12,37.01,
2021-04-14,,0.182
2021-04-19,37.86,
2021-04-21,,0.246
2021-04-23,,
2021-04-26,39.11,
2021-04-28,,0.261
2021-04-30,39.7,
2021-05-05,,0.261
2021-05-10,40.11,
2021-05-12,,0.289
2021-05-17,43.55,
2021-05-19,,0.299
2021-05-24,44.24,
2021-05-26,,0.339
2021-05-31,46.67,
2021-06-02,,0.341
2021-06-07,49.87,
2021-06-09,,0.341
2021-06-15,49.54,
2021-06-16,,0.341
2021-06-21,48.47,
2021-06-23,,0.323
2021-06-28,47.64,
2021-06-30,,0.317
2021-07-05,43.0,
2021-07-07,,0.313
2021-07-12,42.17,
2021-07-14,,0.305
2021-07-19,41.7,
2021-07-21,,0.295
2021-07-26,40.81,
2021-07-28,,0.287
2021-08-02,40.89,
2021-08-04,,0.287
2021-08-09,40.89,
2021-08-11,,0.287
2021-08-16,43.48,
2021-08-18,,0.287
2021-08-23,45.11,
2021-08-25,,0.287
2021-08-30,47.48,
2021-09-01,,0.287
2021-09-06,48.56,
2021-09-08,,0.287
2021-09-13,48.56,
2021-09-15,,0.288
2021-09-22,,0.288
2021-09-27,49.33,
2021-09-29,,0.298
2021-09-30,55.18,
2021-10-06,,0.298
2021-10-13,,0.358
2021-10-18,58.16,
2021-10-20,,0.361
2021-10-25,58.16,
2021-10-27,,0.358
2021-11-01,58.16,
2021-11-03,,0.352
2021-11-08,58.16,
2021-11-10,,0.344
2021-11-15,57.88,
2021-11-17,,0.333
2021-11-22,57.8,
2021-11-24,,0.319
2021-11-29,54.99,
2021-12-01,,0.293
2021-12-06,52.73,
2021-12-08,,0.279
2021-12-13,50.66,
2021-12-15,,0.26
2021-12-20,48.51,
2021-12-22,,0.26
2021-12-27,48.68,
2021-12-29,,0.279
2022-01-04,48.95,
2022-01-05,,0.279
2022-01-10,49.23,
2022-01-12,,0.279
2022-01-17,50.88,
2022-01-19,,0.299
2022-01-24,50.99,
2022-01-26,,0.3
2022-02-02,,0.312
2022-02-07,52.37,
2022-02-09,,0.312
2022-02-14,52.58,
2022-02-16,,0.312
2022-02-21,52.64,
2022-02-23,,0.317
2022-02-28,53.2,
2022-03-02,,0.317
2022-03-07,53.2,
2022-03-09,,0.317
2022-03-14,53.82,
2022-03-16,,0.315
2022-03-21,53.82,
2022-03-23,,0.314
2022-03-28,53.84,
2022-03-30,,0.314
2022-04-06,53.84,0.314
2022-04-11,54.46,
2022-04-13,,0.314
2022-04-18,54.56,
2022-04-20,,0.314
2022-04-25,54.56,
2022-04-27,,0.307
2022-05-04,,0.307
2022-05-05,54.93,
2022-05-09,54.93,
2022-05-11,,0.303
2022-05-16,54.93,
2022-05-18,,0.302
2022-05-23,54.93,
2022-05-25,,0.305
2022-05-30,54.93,
2022-06-01,,0.305
2022-06-06,54.93,
2022-06-08,,0.305
2022-06-13,54.85,
2022-06-15,,0.305
2022-06-20,54.85,
2022-06-22,,0.305
2022-06-27,54.85,
2022-06-29,,0.315
2022-07-04,56.8,
2022-07-06,,0.348
2022-07-11,57.06,
2022-07-13,,0.348
2022-07-18,57.09,
2022-07-20,,0.348
2022-07-25,57.09,
2022-07-27,,0.359
2022-08-01,58.69,
2022-08-03,,0.359
2022-08-08,58.69,
2022-08-10,,0.359
2022-08-15,58.69,
2022-08-17,,0.359
2022-08-22,58.69,
2022-08-24,,0.356
2022-08-29,58.69,
2022-08-31,,0.352
2022-09-05,58.69,
2022-09-07,,0.349
2022-09-13,58.69,
2022-09-14,,0.348
2022-09-19,58.69,
2022-09-21,,0.344
2022-09-26,58.69,
2022-09-28,,0.337
2022-10-05,,0.337
2022-10-10,58.69,
2022-10-12,,0.336
2022-10-17,58.69,
2022-10-19,,0.333
2022-10-24,58.69,
2022-10-26,,0.332
2022-10-31,58.69,
2022-11-02,,0.328
2022-11-07,66.77,
2022-11-09,,0.327
2022-11-14,66.51,
2022-11-16,,0.331
2022-11-21,66.4,
2022-11-23,,0.325
2022-11-28,66.05,
2022-11-30,,0.315
2022-12-05,64.34,
2022-12-07,,0.305
2022-12-12,64.01,
2022-12-14,,0.272
2022-12-19,58.05,
2022-12-21,,0.257
2022-12-28,,0.236
2023-01-03,52.1,
2023-01-04,,0.212
2023-01-09,41.48,
2023-01-11,,0.215
2023-01-16,41.04,
2023-01-18,,0.25
2023-01-25,,0.25
2023-01-30,52.18,
2023-02-01,,0.341
2023-02-06,55.49,
2023-02-08,,0.357
2023-02-13,70.69,
2023-02-15,,0.357
2023-02-20,70.69,
2023-02-22,,0.352
2023-02-27,70.69,
2023-03-01,,0.35
2023-03-06,70.69,
2023-03-08,,0.35
2023-03-13,71.92,
2023-03-15,,0.35
2023-03-20,71.92,
2023-03-22,,0.35
2023-03-27,71.92,
2023-03-29,,0.35
2023-04-03,71.92,
2023-04-05,,0.35
2023-04-10,72.15,
2023-04-12,,0.345
2023-04-17,72.15,
2023-04-19,,0.341
2023-04-24,71.87,
2023-04-26,,0.327
2023-05-03,,0.313
2023-05-10,,0.263
2023-05-15,63.87,
2023-05-17,,0.243
2023-05-22,58.41,
2023-05-24,,0.219
2023-05-29,51.79,
2023-05-31,,0.21
2023-06-05,48.92,
2023-06-07,,0.198
2023-06-12,44.68,
2023-06-14,,0.178
2023-06-19,36.29,
2023-06-21,,0.178
2023-06-26,31.44,
2023-06-28,,0.178
2023-07-03,31.44,
2023-07-05,,0.173
2023-07-10,31.44,
2023-07-12,,0.173
2023-07-17,31.99,
2023-07-19,,0.173
2023-07-24,32.58,
2023-07-26,,0.173
2023-07-31,32.58,
2023-08-02,,0.177
2023-08-07,33.13,
2023-08-09,,0.177
2023-08-14,35.0,
2023-08-16,,0.191
2023-08-21,35.06,
2023-08-23,,0.201
2023-08-28,36.16,
2023-08-30,,0.201
2023-09-04,36.35,
2023-09-06,,0.201
2023-09-11,36.35,
2023-09-13,,0.2
2023-09-18,36.35,
2023-09-20,,0.198
2023-09-25,35.95,
2023-09-27,,0.185
2023-10-04,,0.184
2023-10-09,32.5,
2023-10-11,,0.178
2023-10-16,28.36,
2023-10-18,,0.163
2023-10-23,27.92,
2023-10-25,,0.159
2023-10-30,24.73,
2023-11-01,,0.156
2023-11-06,22.66,
2023-11-08,,0.156
2023-11-13,22.66,
2023-11-15,,0.156
2023-11-20,22.58,
2023-11-22,,0.158
2023-11-27,21.94,
2023-11-29,,0.158
2023-12-04,21.94,
2023-12-06,,0.154
2023-12-11,21.2,
2023-12-13,,0.147
2023-12-18,20.06,
2023-12-20,,0.141
2023-12-25,19.37,
2023-12-27,,0.134
2024-01-03,,0.134
2024-01-08,19.1,
2024-01-10,,0.134
2024-01-15,19.1,
2024-01-17,,0.134
2024-01-22,19.15,
2024-01-24,,0.137
