,RU.SHF_open,RU.SHF_high,RU.SHF_low,RU.SHF_close,RU.SHF_volume
2017-02-23,19950.0,20120.0,18565.0,18690.0,617992.0
2017-02-24,18830.0,18850.0,18360.0,18800.0,369218.0
2017-02-27,18845.0,19015.0,18560.0,18785.0,425564.0
2017-02-28,18720.0,18800.0,18160.0,18490.0,535634.0
2017-03-01,18510.0,19095.0,18490.0,18745.0,458414.0
2017-03-02,18765.0,18930.0,18520.0,18855.0,404224.0
2017-03-03,18800.0,19185.0,18540.0,19100.0,515968.0
2017-03-06,19185.0,19250.0,18635.0,18710.0,407294.0
2017-03-07,18675.0,18730.0,18410.0,18625.0,303084.0
2017-03-08,18605.0,18665.0,17660.0,17780.0,473724.0
2017-03-09,17855.0,17915.0,17505.0,17555.0,362070.0
2017-03-10,17575.0,17885.0,17345.0,17640.0,399642.0
2017-03-13,17700.0,17920.0,17150.0,17820.0,491128.0
2017-03-14,17805.0,18015.0,17400.0,17515.0,457176.0
2017-03-15,17450.0,17900.0,17220.0,17715.0,441240.0
2017-03-16,17755.0,18060.0,17350.0,17820.0,460760.0
2017-03-17,17820.0,18295.0,17730.0,18230.0,415798.0
2017-03-20,18270.0,18320.0,17760.0,17880.0,274590.0
2017-03-21,17860.0,17955.0,17425.0,17510.0,227178.0
2017-03-22,17485.0,17620.0,16515.0,16560.0,269006.0
2017-03-23,16560.0,16795.0,16400.0,16580.0,147970.0
2017-03-24,17080.0,17230.0,16785.0,16865.0,499410.0
2017-03-27,16865.0,16930.0,15980.0,16150.0,531862.0
2017-03-28,16110.0,16550.0,16030.0,16235.0,492174.0
2017-03-29,16310.0,16750.0,16265.0,16615.0,536692.0
2017-03-30,16590.0,16670.0,16130.0,16300.0,533044.0
2017-03-31,16295.0,16625.0,16260.0,16335.0,556778.0
2017-04-05,16450.0,17220.0,16370.0,16970.0,538834.0
2017-04-06,16970.0,17045.0,16670.0,16815.0,474720.0
2017-04-07,16730.0,16790.0,15675.0,15675.0,778364.0
2017-04-10,15645.0,15860.0,15405.0,15520.0,606236.0
2017-04-11,15350.0,15700.0,15220.0,15410.0,636108.0
2017-04-12,15380.0,15515.0,14660.0,14770.0,749924.0
2017-04-13,14775.0,15220.0,14725.0,14985.0,650630.0
2017-04-14,14975.0,15155.0,14570.0,14830.0,693770.0
2017-04-17,14800.0,15235.0,14760.0,14905.0,752662.0
2017-04-18,14905.0,15050.0,14520.0,14610.0,664682.0
2017-04-19,14455.0,14550.0,13950.0,14385.0,747390.0
2017-04-20,14380.0,14835.0,14100.0,14800.0,895504.0
2017-04-21,14860.0,14990.0,14660.0,14805.0,766570.0
2017-04-24,14760.0,14850.0,14360.0,14815.0,783968.0
2017-04-25,14830.0,15000.0,14600.0,14670.0,715572.0
2017-04-26,14610.0,14935.0,14465.0,14510.0,823822.0
2017-04-27,14550.0,14630.0,14380.0,14610.0,764790.0
2017-04-28,14595.0,14960.0,14470.0,14760.0,771302.0
2017-05-02,14850.0,15345.0,14700.0,15245.0,505904.0
2017-05-03,15200.0,15285.0,15035.0,15095.0,507724.0
2017-05-04,15000.0,15000.0,14080.0,14080.0,813816.0
2017-05-05,14005.0,14100.0,13555.0,13600.0,737360.0
2017-05-08,13735.0,13940.0,13520.0,13565.0,743100.0
2017-05-09,13560.0,13710.0,13410.0,13630.0,719780.0
2017-05-10,13630.0,13790.0,13225.0,13305.0,812882.0
2017-05-11,13395.0,13780.0,13310.0,13725.0,874664.0
2017-05-12,13815.0,13870.0,13360.0,13540.0,786958.0
2017-05-15,13560.0,13850.0,13470.0,13715.0,636892.0
2017-05-16,13785.0,13935.0,13500.0,13925.0,824104.0
2017-05-17,13995.0,14030.0,13710.0,13785.0,816296.0
2017-05-18,13725.0,13810.0,13325.0,13490.0,856814.0
2017-05-19,13285.0,13900.0,13185.0,13775.0,914914.0
2017-05-22,13805.0,14290.0,13740.0,13850.0,1075250.0
2017-05-23,13895.0,14360.0,13845.0,13960.0,985258.0
2017-05-24,13960.0,14180.0,13555.0,13700.0,937816.0
2017-05-25,13595.0,13955.0,13585.0,13750.0,804422.0
2017-05-26,13750.0,13850.0,13390.0,13465.0,596938.0
2017-05-31,13290.0,13610.0,12510.0,12510.0,669312.0
2017-06-01,12525.0,12635.0,12350.0,12480.0,508038.0
2017-06-02,12500.0,12595.0,12350.0,12405.0,490404.0
2017-06-05,12310.0,12675.0,12270.0,12530.0,550380.0
2017-06-06,12410.0,12605.0,12360.0,12455.0,568080.0
2017-06-07,12400.0,12650.0,12320.0,12550.0,676180.0
2017-06-08,12505.0,12555.0,12215.0,12405.0,695058.0
2017-06-09,12450.0,12600.0,12410.0,12475.0,463774.0
2017-06-12,12490.0,12790.0,12435.0,12675.0,581414.0
2017-06-13,12705.0,12765.0,12255.0,12325.0,504400.0
2017-06-14,12350.0,12980.0,12320.0,12900.0,835854.0
2017-06-15,12905.0,12965.0,12685.0,12845.0,594424.0
2017-06-16,12805.0,13140.0,12755.0,12875.0,636620.0
2017-06-19,12870.0,12940.0,12510.0,12690.0,661010.0
