,L.DCE_open,L.DCE_high,L.DCE_low,L.DCE_close,L.DCE_volume
2019-03-12,8680.0,8725.0,8660.0,8680.0,161552.0
2019-03-13,8685.0,8745.0,8665.0,8680.0,188048.0
2019-03-14,8705.0,8720.0,8600.0,8615.0,203124.0
2019-03-15,8600.0,8630.0,8490.0,8505.0,284918.0
2019-03-18,8510.0,8520.0,8300.0,8325.0,382828.0
2019-03-19,8335.0,8390.0,8320.0,8370.0,195460.0
2019-03-20,8375.0,8400.0,8345.0,8360.0,146346.0
2019-03-21,8400.0,8450.0,8380.0,8405.0,171602.0
2019-03-22,8410.0,8470.0,8380.0,8430.0,153438.0
2019-03-25,8380.0,8445.0,8350.0,8425.0,181404.0
2019-03-26,8440.0,8450.0,8375.0,8385.0,126910.0
2019-03-27,8395.0,8435.0,8375.0,8405.0,146256.0
2019-03-28,8390.0,8455.0,8295.0,8310.0,269866.0
2019-03-29,8315.0,8425.0,8275.0,8365.0,244872.0
2019-04-01,8225.0,8290.0,8155.0,8290.0,139442.0
2019-04-02,8285.0,8345.0,8270.0,8335.0,141760.0
2019-04-03,8320.0,8425.0,8300.0,8375.0,209138.0
2019-04-04,8375.0,8405.0,8330.0,8400.0,192710.0
2019-04-08,8450.0,8595.0,8435.0,8535.0,371654.0
2019-04-09,8535.0,8565.0,8490.0,8510.0,308948.0
2019-04-10,8500.0,8555.0,8490.0,8535.0,207152.0
2019-04-11,8535.0,8555.0,8505.0,8550.0,226022.0
2019-04-12,8545.0,8580.0,8445.0,8545.0,350420.0
2019-04-15,8560.0,8580.0,8480.0,8500.0,268876.0
2019-04-16,8490.0,8525.0,8445.0,8480.0,255172.0
2019-04-17,8480.0,8510.0,8440.0,8470.0,248236.0
2019-04-18,8470.0,8475.0,8330.0,8330.0,378560.0
2019-04-19,8330.0,8355.0,8285.0,8330.0,267230.0
2019-04-22,8345.0,8375.0,8285.0,8295.0,359248.0
2019-04-23,8290.0,8320.0,8260.0,8310.0,257296.0
2019-04-24,8305.0,8315.0,8260.0,8265.0,353216.0
2019-04-25,8270.0,8315.0,8255.0,8295.0,289240.0
2019-04-26,8285.0,8330.0,8275.0,8290.0,323458.0
2019-04-29,8280.0,8345.0,8255.0,8285.0,234262.0
2019-04-30,8295.0,8330.0,8270.0,8305.0,202252.0
2019-05-06,8220.0,8285.0,8205.0,8235.0,263104.0
2019-05-07,8240.0,8300.0,8230.0,8265.0,329454.0
2019-05-08,8260.0,8265.0,8120.0,8165.0,493888.0
2019-05-09,8160.0,8175.0,7970.0,8000.0,640254.0
2019-05-10,7990.0,8105.0,7955.0,8035.0,600432.0
2019-05-13,8035.0,8045.0,7850.0,7855.0,553448.0
2019-05-14,7850.0,7885.0,7650.0,7695.0,818300.0
2019-05-15,7690.0,7790.0,7680.0,7735.0,479632.0
2019-05-16,7720.0,7845.0,7715.0,7800.0,575180.0
2019-05-17,7800.0,7860.0,7740.0,7845.0,608480.0
2019-05-20,7860.0,7965.0,7855.0,7940.0,625410.0
2019-05-21,7940.0,8050.0,7915.0,8045.0,387612.0
2019-05-22,8040.0,8055.0,7860.0,7905.0,607972.0
2019-05-23,7890.0,7915.0,7800.0,7810.0,397556.0
2019-05-24,7800.0,7805.0,7695.0,7760.0,521246.0
2019-05-27,7760.0,7815.0,7715.0,7765.0,400208.0
2019-05-28,7775.0,7900.0,7735.0,7890.0,407710.0
2019-05-29,7890.0,7970.0,7865.0,7900.0,394502.0
2019-05-30,7855.0,7920.0,7780.0,7795.0,482460.0
2019-05-31,7785.0,7850.0,7780.0,7790.0,306878.0
2019-06-03,7745.0,7775.0,7615.0,7665.0,683094.0
2019-06-04,7695.0,7740.0,7575.0,7645.0,499400.0
2019-06-05,7640.0,7665.0,7495.0,7510.0,566046.0
2019-06-06,7500.0,7615.0,7380.0,7585.0,996572.0
2019-06-10,7675.0,7705.0,7560.0,7565.0,422358.0
2019-06-11,7550.0,7660.0,7510.0,7605.0,520026.0
2019-06-12,7605.0,7620.0,7505.0,7510.0,439362.0
2019-06-13,7500.0,7605.0,7480.0,7585.0,435666.0
2019-06-14,7590.0,7610.0,7495.0,7525.0,412000.0
2019-06-17,7525.0,7595.0,7500.0,7510.0,364758.0
2019-06-18,7505.0,7575.0,7485.0,7560.0,390380.0
2019-06-19,7575.0,7695.0,7545.0,7645.0,524752.0
2019-06-20,7640.0,7780.0,7620.0,7775.0,531812.0
2019-06-21,7775.0,7800.0,7680.0,7740.0,507906.0
2019-06-24,7740.0,7860.0,7725.0,7835.0,428688.0
2019-06-25,7845.0,7940.0,7805.0,7845.0,573412.0
2019-06-26,7850.0,7925.0,7790.0,7925.0,457924.0
2019-06-27,7925.0,7975.0,7805.0,7845.0,598386.0
2019-06-28,7835.0,7885.0,7770.0,7830.0,447940.0
2019-07-01,7825.0,7950.0,7815.0,7905.0,552758.0
2019-07-02,7910.0,8145.0,7795.0,8065.0,1154070.0
2019-07-03,8060.0,8095.0,7920.0,8035.0,1013218.0
2019-07-04,8040.0,8120.0,7915.0,8025.0,1094406.0
2019-07-05,8025.0,8130.0,7985.0,8080.0,691788.0
2019-07-08,8080.0,8200.0,8055.0,8110.0,846998.0
2019-07-09,8100.0,8160.0,7980.0,8005.0,761666.0
2019-07-10,8010.0,8025.0,7875.0,7990.0,785472.0
2019-07-11,8010.0,8030.0,7900.0,7915.0,722682.0
2019-07-12,7905.0,7910.0,7750.0,7765.0,731896.0
2019-07-15,7765.0,7885.0,7755.0,7850.0,536466.0
2019-07-16,7845.0,7880.0,7755.0,7770.0,458608.0
2019-07-17,7765.0,7850.0,7710.0,7790.0,645118.0
2019-07-18,7790.0,7860.0,7755.0,7810.0,648704.0
2019-07-19,7815.0,7845.0,7690.0,7820.0,731662.0
2019-07-22,7820.0,7880.0,7700.0,7720.0,734608.0
2019-07-23,7730.0,7830.0,7715.0,7745.0,587370.0
2019-07-24,7740.0,7755.0,7635.0,7650.0,697510.0
2019-07-25,7650.0,7680.0,7555.0,7565.0,526172.0
2019-07-26,7585.0,7690.0,7585.0,7635.0,521668.0
2019-07-29,7655.0,7685.0,7610.0,7655.0,348124.0
2019-07-30,7655.0,7765.0,7655.0,7725.0,457570.0
2019-07-31,7725.0,7745.0,7630.0,7635.0,396014.0
2019-08-01,7560.0,7630.0,7555.0,7610.0,143652.0
2019-08-02,7600.0,7630.0,7490.0,7520.0,231162.0
2019-08-05,7515.0,7530.0,7425.0,7430.0,248296.0
2019-08-06,7440.0,7450.0,7380.0,7410.0,235378.0
2019-08-07,7415.0,7450.0,7400.0,7430.0,167126.0
2019-08-08,7415.0,7480.0,7400.0,7450.0,240466.0
2019-08-09,7460.0,7575.0,7435.0,7560.0,325482.0
2019-08-12,7560.0,7640.0,7560.0,7580.0,461504.0
2019-08-13,7580.0,7615.0,7565.0,7585.0,283460.0
2019-08-14,7580.0,7650.0,7495.0,7515.0,814050.0
2019-08-15,7510.0,7535.0,7460.0,7505.0,409056.0
2019-08-16,7500.0,7505.0,7420.0,7430.0,407204.0
2019-08-19,7435.0,7475.0,7425.0,7455.0,336594.0
2019-08-20,7460.0,7530.0,7440.0,7465.0,474104.0
2019-08-21,7455.0,7470.0,7370.0,7400.0,539366.0
2019-08-22,7415.0,7415.0,7305.0,7320.0,556806.0
2019-08-23,7330.0,7335.0,7225.0,7265.0,695132.0
2019-08-26,7245.0,7320.0,7180.0,7295.0,565064.0
2019-08-27,7310.0,7330.0,7220.0,7225.0,383360.0
2019-08-28,7245.0,7270.0,7175.0,7190.0,592508.0
2019-08-29,7190.0,7245.0,7035.0,7055.0,800556.0
2019-08-30,7080.0,7140.0,7055.0,7135.0,627158.0
2019-09-02,7140.0,7185.0,7095.0,7185.0,686764.0
2019-09-03,7175.0,7260.0,7150.0,7170.0,642238.0
2019-09-04,7165.0,7275.0,7155.0,7255.0,510904.0
2019-09-05,7265.0,7300.0,7230.0,7240.0,527644.0
2019-09-06,7250.0,7290.0,7165.0,7195.0,542892.0
2019-09-09,7225.0,7350.0,7200.0,7350.0,624878.0
2019-09-10,7350.0,7350.0,7265.0,7290.0,491368.0
2019-09-11,7295.0,7325.0,7270.0,7310.0,378282.0
2019-09-12,7310.0,7350.0,7255.0,7290.0,509502.0
2019-09-16,7495.0,7670.0,7390.0,7630.0,1107576.0
2019-09-17,7670.0,7830.0,7655.0,7830.0,1459750.0
2019-09-18,7895.0,7900.0,7550.0,7675.0,1743910.0
2019-09-19,7675.0,7845.0,7650.0,7690.0,1548900.0
2019-09-20,7740.0,7795.0,7630.0,7640.0,1141660.0
2019-09-23,7650.0,7745.0,7600.0,7630.0,889754.0
2019-09-24,7620.0,7665.0,7565.0,7625.0,686232.0
2019-09-25,7625.0,7655.0,7560.0,7575.0,702922.0
2019-09-26,7555.0,7600.0,7475.0,7530.0,761212.0
2019-09-27,7530.0,7540.0,7425.0,7470.0,385668.0
2019-09-30,7460.0,7545.0,7440.0,7535.0,407002.0
2019-10-08,7495.0,7535.0,7345.0,7410.0,481930.0
2019-10-09,7385.0,7480.0,7370.0,7390.0,391476.0
2019-10-10,7395.0,7435.0,7355.0,7385.0,423294.0
2019-10-11,7400.0,7475.0,7365.0,7430.0,592012.0
2019-10-14,7435.0,7575.0,7410.0,7520.0,698494.0
2019-10-15,7490.0,7510.0,7415.0,7450.0,399880.0
2019-10-16,7465.0,7485.0,7305.0,7310.0,553960.0
2019-10-17,7310.0,7325.0,7245.0,7295.0,597360.0
2019-10-18,7295.0,7360.0,7280.0,7340.0,391524.0
2019-10-21,7345.0,7350.0,7215.0,7255.0,456538.0
2019-10-22,7235.0,7275.0,7190.0,7260.0,440284.0
2019-10-23,7285.0,7345.0,7265.0,7320.0,424466.0
2019-10-24,7310.0,7395.0,7300.0,7345.0,420230.0
2019-10-25,7345.0,7375.0,7295.0,7305.0,324674.0
2019-10-28,7305.0,7340.0,7270.0,7305.0,371634.0
2019-10-29,7305.0,7325.0,7255.0,7270.0,305662.0
2019-10-30,7260.0,7335.0,7255.0,7270.0,388462.0
2019-10-31,7270.0,7295.0,7250.0,7290.0,280792.0
2019-11-01,7280.0,7285.0,7175.0,7255.0,542810.0
2019-11-04,7255.0,7315.0,7210.0,7290.0,397404.0
2019-11-05,7315.0,7345.0,7260.0,7260.0,459328.0
2019-11-06,7280.0,7320.0,7230.0,7235.0,378974.0
2019-11-07,7235.0,7280.0,7220.0,7255.0,339466.0
2019-11-08,7270.0,7295.0,7185.0,7200.0,508508.0
2019-11-11,7190.0,7205.0,7140.0,7165.0,460000.0
2019-11-12,7155.0,7190.0,7140.0,7175.0,313982.0
2019-11-13,7180.0,7225.0,7105.0,7145.0,491848.0
2019-11-14,7130.0,7150.0,7010.0,7085.0,607922.0
2019-11-15,7095.0,7120.0,7050.0,7075.0,422352.0
2019-11-18,7070.0,7130.0,7035.0,7090.0,338740.0
2019-11-19,7085.0,7125.0,7065.0,7080.0,317722.0
2019-11-20,7080.0,7105.0,7050.0,7100.0,299656.0
